ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	
1.158591028907328e+118	25.93	6.504	24.302	17.462	14.118925802696864	0	0	141	10	132	94	3	3	3	2	29	0	3.669241189956665	500	3.669241189956665	
3.0218480963440368e+23	23.504	7.850704225352112	18.050704225352113	12.901408450704226	14.118925802696864	1	146	97	25.0	88.0	63.0	2	2.0	2.0	1.0	49	0	0.7955687046051025	1000	4.464809894561768	
4.08953987929891e+88	22.74	6.904040404040404	15.381313131313131	10.876262626262626	11.618123721029109	2	251	93	23.0	78.0	55.0	1	2.0	2.0	1.0	66	0	0.4683518409729004	1500	4.933161735534668	
6.00059983192084e+86	23.346	6.3004587155963305	13.942660550458715	9.727064220183486	11.618123721029109	3	315	86	21.0	56.0	41.0	2	2.0	2.0	1.0	74	0	0.4645061492919922	2000	5.39766788482666	
5.990270069179714e+39	24.702	5.867713004484305	13.085201793721973	9.008968609865471	11.618123721029109	4	370	88	21.0	76.0	51.0	1	2.0	2.0	1.0	79	0	0.4003739356994629	2500	5.798041820526123	
3.3484300819358014e+88	25.226	5.606521739130435	13.23913043478261	8.945652173913043	11.618123721029109	5	411	90	19.0	66.0	49.0	3	2.0	2.0	1.0	89	0	0.46536779403686523	3000	6.263409614562988	
1.873004094284322e+24	23.716	5.25	12.070175438596491	8.015350877192983	11.618123721029109	6	456	93	18.0	69.0	51.0	3	2.0	2.0	1.0	95	0	0.35375499725341797	3500	6.617164611816406	
1.65061685784687e+39	24.296	4.466244725738397	10.732067510548523	6.8691983122362865	11.460532074571402	7	483	86	17.0	65.0	46.0	2	2.0	2.0	1.0	99	0	0.35463619232177734	4000	6.971800804138184	
4.091301690964576e+20	23.554	4.102941176470588	10.502100840336135	6.508403361344538	11.460532074571402	8	508	86	18.0	52.0	37.0	1	2.0	2.0	1.0	102	0	0.36655330657958984	4500	7.338354110717773	
3.630668915423813e+25	23.782	3.6921487603305785	9.520661157024794	5.7190082644628095	11.23634960776928	9	525	79	16.0	41.0	30.0	4	2.0	2.0	1.0	104	0	0.3682870864868164	5000	7.70664119720459	
336187138493.71234	23.622	3.5685071574642127	9.425357873210634	5.629856850715746	10.198975392649963	10	536	79	21.0	57.0	43.0	2	2.0	2.0	1.0	107	0	0.32496166229248047	5500	8.03160285949707	
2.5592475278223307e+27	23.962	3.5885947046843176	9.558044806517312	5.70061099796334	10.198975392649963	11	546	83	21.0	59.0	44.0	3	2.0	2.0	1.0	107	0	0.3677494525909424	6000	8.399352312088013	
113.53302138482009	21.664	3.5306122448979593	9.281632653061225	5.524489795918368	10.198975392649963	12	557	76	12.0	40.0	29.0	3	2.0	2.0	1.0	109	0	0.35915637016296387	6500	8.758508682250977	
5.657560024997853e+87	22.158	3.51417004048583	9.350202429149798	5.560728744939271	10.05975444734081	13	564	78	17.0	63.0	43.0	3	2.0	2.0	1.0	109	0	0.3696727752685547	7000	9.128181457519531	
2.4433688853808398e+39	22.194	3.501010101010101	9.208080808080808	5.446464646464647	10.05975444734081	14	570	70	14.0	41.0	30.0	3	2.0	2.0	1.0	111	0	0.37818169593811035	7500	9.506363153457642	
3.992448394468538e+33	21.316	3.5142276422764227	9.146341463414634	5.414634146341464	10.05975444734081	15	578	63	16.0	35.0	26.0	4	2.0	2.0	1.0	116	0	0.38225507736206055	8000	9.888618230819702	
3.3524169374515416e+38	20.282	3.5216494845360824	9.418556701030928	5.560824742268041	10.05975444734081	16	594	62	18.0	50.0	36.0	1	2.0	2.0	1.0	117	0	0.4285392761230469	8500	10.317157506942749	
5.762545674946268e+87	19.48	3.441717791411043	9.14723926380368	5.386503067484663	10.05975444734081	17	606	62	13.0	38.0	27.0	2	2.0	2.0	1.0	121	0	0.39156198501586914	9000	10.708719491958618	
3.627562023835054e+85	18.804	3.475206611570248	9.144628099173554	5.413223140495868	10.05975444734081	18	623	68	10.0	31.0	21.0	2	2.0	2.0	1.0	125	0	0.38268423080444336	9500	11.091403722763062	
5.244019000416074e+29	19.538	3.572314049586777	9.477272727272727	5.650826446280992	10.05975444734081	19	640	66	10.0	34.0	22.0	3	2.0	2.0	1.0	127	0	0.390636682510376	10000	11.482040405273438	
3.3493705159242753e+87	19.282	3.7183673469387757	9.759183673469387	5.885714285714286	10.057976490282117	20	651	67	10.0	38.0	25.0	4	2.0	2.0	1.0	132	0	0.40305161476135254	10500	11.88509202003479	
7.492208945437788e+68	19.784	3.8282828282828283	9.862626262626263	6.022222222222222	9.743725319098948	21	656	53	10.0	40.0	26.0	4	2.0	2.0	1.0	139	0	0.43222475051879883	11000	12.317316770553589	
4.522926018504745e+143	20.264	4.010162601626016	10.254065040650406	6.329268292682927	9.743725319098948	22	665	49	12.0	41.0	27.0	3	2.0	2.0	1.0	144	0	0.30968594551086426	11500	12.627002716064453	
8.581020913475358e+26	20.042	3.8950617283950617	10.08230452674897	6.158436213991769	8.77283216468775	23	679	48	14.0	36.0	24.0	1	2.0	2.0	1.0	146	0	0.3097870349884033	12000	12.936789751052856	
727766.412768035	19.868	3.869918699186992	10.225609756097562	6.219512195121951	8.77283216468775	24	688	53	11.0	33.0	21.0	3	2.0	2.0	1.0	156	0	0.319044828414917	12500	13.255834579467773	
8.55263624435215e+34	20.504	3.8952772073921973	10.406570841889117	6.3347022587268995	8.77283216468775	25	701	56	13.0	36.0	22.0	3	2.0	2.0	1.0	163	0	0.3237478733062744	13000	13.579582452774048	
2.636911995898999e+90	19.81	3.8979591836734695	10.183673469387756	6.197959183673469	8.291608882686964	26	712	49	13.0	39.0	28.0	3	2.0	2.0	1.0	164	0	0.3231837749481201	13500	13.902766227722168	
1.988647084784778e+62	20.276	3.834355828220859	9.687116564417177	5.897750511247444	8.291608882686964	27	724	52	18.0	42.0	31.0	2	2.0	2.0	1.0	171	0	0.3701131343841553	14000	14.272879362106323	
3.638616650136759e+39	20.25	3.6761133603238867	9.548582995951417	5.72672064777328	8.291608882686964	28	731	53	16.0	39.0	28.0	4	2.0	2.0	1.0	178	0	0.3312678337097168	14500	14.60414719581604	
3.734305739646981e+35	21.756	3.8122448979591836	10.083673469387755	6.106122448979592	8.291608882686964	29	742	58	17.0	55.0	39.0	2	2.0	2.0	1.0	183	0	0.33866143226623535	15000	14.942808628082275	
1.2861205504548422e+28	22.08	3.8431771894093685	10.30346232179226	6.24847250509165	8.291608882686964	30	752	62	14.0	52.0	37.0	3	2.0	2.0	1.0	186	0	0.35521483421325684	15500	15.298023462295532	
4.026447061397588e+109	23.524	3.9938900203665986	10.29938900203666	6.321792260692464	8.291608882686964	31	762	55	15.0	41.0	29.0	4	2.0	2.0	1.0	191	0	0.36174774169921875	16000	15.659771203994751	
8.539539082221235e+40	24.23	3.9898580121703855	10.490872210953347	6.434077079107505	8.291608882686964	32	769	63	13.0	48.0	33.0	5	2.0	2.0	1.0	196	0	0.36547207832336426	16500	16.025243282318115	
1.9012195884664006e+87	23.446	4.195121951219512	10.916666666666666	6.8028455284552845	8.048944608451508	33	778	60	14.0	43.0	29.0	6	2.0	2.0	1.0	204	0	0.36670804023742676	17000	16.391951322555542	
5.632509681182009e+89	23.964	4.372708757637475	11.54582484725051	7.270875763747454	8.048944608451508	34	788	60	15.0	48.0	33.0	2	2.0	2.0	1.0	217	0	0.3822047710418701	17500	16.774156093597412	
1.3133468547934287e+128	23.058	4.3963039014373715	11.427104722792608	7.252566735112937	8.048944608451508	35	801	63	17.0	59.0	43.0	3	2.0	2.0	1.0	230	0	0.38718295097351074	18000	17.161339044570923	
6.897854353389696e+87	24.23	4.863636363636363	12.53099173553719	8.159090909090908	8.048944608451508	36	817	61	19.0	60.0	45.0	2	2.0	2.0	1.0	244	0	0.3931279182434082	18500	17.55446696281433	
1.0548342209242037e+88	24.004	5.039665970772442	13.24008350730689	8.649269311064717	8.048944608451508	37	838	75	19.0	88.0	59.0	2	2.0	2.0	1.0	262	0	0.3879096508026123	19000	17.942376613616943	
1.0165417646561384e+90	24.596	5.326488706365503	14.373716632443532	9.478439425051334	8.048944608451508	38	852	71	19.0	74.0	50.0	3	2.0	2.0	1.0	272	0	0.432096004486084	19500	18.374472618103027	
6.75444781797619e+87	26.92	5.307377049180328	14.149590163934427	9.32172131147541	8.048944608451508	39	864	85	20.0	83.0	55.0	3	2.0	2.0	1.0	280	0	0.4027223587036133	20000	18.77719497680664	
5.0237157671296197e+89	27.134	5.836134453781512	16.352941176470587	10.88655462184874	8.048944608451508	40	889	93	22.0	79.0	55.0	3	2.0	2.0	1.0	296	0	0.4316229820251465	20500	19.208817958831787	
3.7412884434233066e+82	29.148	6.400871459694989	18.294117647058822	12.300653594771243	8.048944608451508	41	931	93	23.0	100.0	70.0	2	2.0	2.0	1.0	307	0	0.42177700996398926	21000	19.630594968795776	
3.5161140697473455e+87	30.866	6.263048016701461	17.734864300626306	11.887265135699373	7.870675212407873	42	952	111	25.0	123.0	88.0	4	2.0	2.0	1.0	325	0	0.377547025680542	21500	20.00814199447632	
2.7504463788424777e+88	33.868	6.552521008403361	18.642857142857142	12.529411764705882	7.870675212407873	43	976	109	21.0	88.0	62.0	1	2.0	2.0	1.0	340	0	0.3801999092102051	22000	20.388341903686523	
3.438782687650603e+88	36.628	7.104384133611691	20.302713987473904	13.78705636743215	7.870675212407873	44	998	115	21.0	96.0	66.0	4	2.0	2.0	1.0	355	0	0.3935832977294922	22500	20.781925201416016	
7.748082014394632e+119	39.86	7.689300411522634	22.05349794238683	15.150205761316872	7.870675212407873	45	1013	115	24.0	105.0	73.0	4	2.0	2.0	1.0	370	0	0.40777587890625	23000	21.189701080322266	
1.432576769359769e+87	41.366	7.922755741127348	22.515657620041754	15.588726513569938	7.870675212407873	46	1035	110	27.0	108.0	75.0	6	2.0	2.0	1.0	381	0	0.41789913177490234	23500	21.607600212097168	
5.5143012727040524e+42	43.45	8.407407407407407	23.88888888888889	16.666666666666668	7.859240206472368	47	1049	113	30.0	116.0	82.0	6	2.0	2.0	1.0	397	0	0.4297521114349365	24000	22.037352323532104	
3.5623787285598105e+87	43.402	8.716075156576201	25.569937369519835	17.86847599164927	7.859240206472368	48	1070	129	25.0	156.0	107.0	4	2.0	2.0	1.0	421	0	0.4143853187561035	24500	22.451737642288208	
9.93641938622811e+87	43.898	8.514583333333333	24.641666666666666	17.175	7.833813894642641	49	1091	130	28.0	154.0	105.0	4	2.0	2.0	1.0	433	0	0.4847533702850342	25000	22.936491012573242	
3.630334748150287e+87	47.982	8.87809917355372	27.206611570247933	19.0	7.833813894642641	50	1108	156	26.0	154.0	106.0	4	2.0	2.0	1.0	457	0	0.4371368885040283	25500	23.37362790107727	
3.630334748150287e+87	47.982	8.87809917355372	27.206611570247933	19.0	7.833813894642641	50	1108	156	26.0	154.0	106.0	4	2.0	2.0	1.0	457	0	0.4371368885040283	25500	23.37362790107727	
