ave_fitness	ave_genome_length	ave_num_layers	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_num_layers	max_used_codons	min_genome_length	min_num_layers	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
8091785.460791118	100.0	1.0	5.06	279.5125258789063	0	0	100	1	8	100	1	5	0	0	3.5181610584259033	50	3.5181610584259033	50	0.0	
42.55431993103028	100.0	1.0	5.0	34.49922021484375	1	0	104	1	5	96	1	5	0	0	933.2952539920807	100	936.8134150505066	100	0.0	
35.91826577758789	100.08	1.0	5.0	34.4934333190918	2	0	104	1	5	95	1	5	0	0	923.2982356548309	150	1860.1116507053375	150	0.0	
35.67320985412598	100.22	1.0	5.0	34.07086022949219	3	0	108	1	5	92	1	5	0	0	932.0249226093292	200	2792.1365733146667	200	0.0	
35.80313775634765	101.86	1.0	5.0	34.07086022949219	4	0	109	1	5	93	1	5	0	0	943.6538751125336	250	3735.7904484272003	250	0.0	
35.48616960144043	102.94	1.0	5.0	34.07086022949219	5	0	110	1	5	92	1	5	0	0	959.9248025417328	300	4695.715250968933	300	0.0	
36.25243165588379	102.68	1.0	5.0	34.07086022949219	6	0	111	1	5	91	1	5	0	0	950.786613702774	350	5646.501864671707	350	0.0	
36.460587097167966	103.24	1.0	5.0	34.07086022949219	7	0	113	1	5	89	1	5	0	0	947.5635061264038	400	6594.065370798111	400	0.0	
35.71174005126953	100.56	1.0	5.0	34.07086022949219	8	0	111	1	5	85	1	5	0	0	960.9597406387329	450	7555.025111436844	450	0.0	
36.43204759216309	101.26	1.0	5.0	34.07086022949219	9	0	111	1	5	83	1	5	0	0	951.4945065975189	500	8506.519618034363	500	0.0	
37.19477639770508	101.02	1.0	5.0	34.07086022949219	10	0	113	1	5	86	1	5	0	0	959.8324115276337	550	9466.352029561996	550	0.0	
36.2896400604248	101.5	1.0	5.0	34.07086022949219	11	0	112	1	5	83	1	5	0	0	949.7058002948761	600	10416.057829856873	600	0.0	
36.48165711975098	103.92	1.0	5.0	34.07086022949219	12	0	112	1	5	81	1	5	0	0	958.4776086807251	650	11374.535438537598	650	0.0	
36.210123153686524	103.52	1.0	5.0	34.07086022949219	13	0	114	1	5	88	1	5	0	0	941.0205700397491	700	12315.556008577347	700	0.0	
38.35269776916504	105.4	1.0	5.0	34.07086022949219	14	0	116	1	5	87	1	5	0	0	938.3494231700897	750	13253.905431747437	750	0.0	
38.35269776916504	105.4	1.0	5.0	34.07086022949219	14	0	116	1	5	87	1	5	0	0	938.3494231700897	750	13253.905431747437	750	0.0	
