ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	
7.242250883845879e+109	25.958	6.492	24.418	17.49	4645775816.353155	0	0	150	10	140	100	3	3	3	2	26	0	0.834503173828125	500	0.834503173828125	
9.267686871673376e+32	22.526	7.800546448087432	18.23497267759563	13.010928961748634	4645775816.353155	1	135	118	31.0	96.0	68.0	2	2.0	2.0	1.0	42	0	0.10119438171386719	1000	0.9356975555419922	
7.022240731283146e+87	24.424	6.724137931034483	16.007389162561577	11.169950738916256	4645775816.353155	2	230	126	29.0	93.0	65.0	1	2.0	2.0	1.0	50	0	0.08890986442565918	1500	1.0246074199676514	
1.4879171133981394e+83	26.238	6.824766355140187	16.89485981308411	11.705607476635514	4645775816.353155	3	302	141	30.0	101.0	70.0	1	2.0	2.0	1.0	62	0	0.09201216697692871	2000	1.11661958694458	
1.4595111431847656e+125	25.802	6.34324942791762	16.123569794050344	10.961098398169336	4645775816.353155	4	366	137	29.0	93.0	66.0	1	2.0	2.0	1.0	69	0	0.08434629440307617	2500	1.2009658813476562	
1.35977385583551e+64	27.876	6.284782608695652	16.37608695652174	11.043478260869565	4645775816.353155	5	406	142	32.0	95.0	72.0	4	2.0	2.0	1.0	79	0	0.08582806587219238	3000	1.2867939472198486	
1.6530881423224394e+95	27.158	5.3164556962025316	14.533755274261603	9.462025316455696	4368417673.315274	6	433	144	23.0	78.0	55.0	1	2.0	2.0	1.0	84	0	0.07672715187072754	3500	1.3635210990905762	
1.3005139055414812e+108	26.714	5.464818763326226	15.23454157782516	9.886993603411513	4368417673.315274	7	465	146	19.0	76.0	50.0	3	2.0	2.0	1.0	89	0	0.07497525215148926	4000	1.4384963512420654	
3.267923222696168e+65	28.812	5.720833333333333	16.983333333333334	11.025	4368417673.315274	8	485	144	16.0	81.0	56.0	3	2.0	2.0	1.0	100	0	0.07935810089111328	4500	1.5178544521331787	
5.1921260728119335e+116	29.642	5.928270042194093	19.23206751054852	12.405063291139241	3191649280.788856	9	512	76	17.0	76.0	51.0	4	2.0	2.0	1.0	110	0	0.08017444610595703	5000	1.5980288982391357	
1.8151437347105548e+90	32.136	6.239224137931035	20.892241379310345	13.506465517241379	3191649280.788856	10	549	91	20.0	75.0	49.0	7	2.0	2.0	1.0	117	0	0.08522653579711914	5500	1.6832554340362549	
1.594351093894885e+110	34.914	6.682572614107884	22.365145228215766	14.599585062240664	3191649280.788856	11	567	96	22.0	89.0	61.0	7	2.0	2.0	1.0	132	0	0.09242916107177734	6000	1.7756845951080322	
3.1029055082302457e+90	34.706	6.2283298097251585	20.70401691331924	13.454545454545455	2845507985.0720286	12	595	85	21.0	118.0	81.0	5	2.0	2.0	1.0	145	0	0.08794283866882324	6500	1.8636274337768555	
5.339837941469898e+44	37.958	6.6265822784810124	22.018987341772153	14.371308016877638	2840778105.782816	13	621	117	23.0	103.0	68.0	6	2.0	2.0	1.0	155	0	0.09010100364685059	7000	1.953728437423706	
2.7215794704782027e+132	41.496	6.606185567010309	23.53814432989691	15.274226804123712	2840778105.782816	14	637	117	20.0	103.0	68.0	6	2.0	2.0	1.0	167	0	0.09203433990478516	7500	2.045762777328491	
7.895260244778912e+113	41.902	6.8153526970954355	23.699170124481327	15.485477178423237	2840778105.782816	15	655	117	23.0	103.0	68.0	6	2.0	2.0	1.0	183	0	0.09551000595092773	8000	2.141272783279419	
3.6308507896770565e+114	43.654	7.012195121951219	24.55081300813008	16.091463414634145	2840213518.909115	16	664	133	24.0	118.0	78.0	5	2.0	2.0	1.0	199	0	0.09798336029052734	8500	2.2392561435699463	
6.1131366425439515e+75	47.16	6.969072164948454	25.503092783505156	16.587628865979383	2840213518.909115	17	679	120	21.0	138.0	94.0	7	2.0	2.0	1.0	212	0	0.09734821319580078	9000	2.336604356765747	
9.102157100857641e+123	48.024	6.877846790890269	25.215320910973084	16.368530020703933	2840213518.909115	18	696	117	22.0	114.0	79.0	6	2.0	2.0	1.0	224	0	0.09718942642211914	9500	2.433793783187866	
