ave_fitness	ave_genome_length	ave_num_layers	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_num_layers	max_used_codons	min_genome_length	min_num_layers	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
249827154987916.97	100.0	1.16	5.805714285714286	5.008267088633972	0	0	100	3	15	100	1	5	7	0	7.209023952484131	350	7.209023952484131	343	2.0	
8098889340.549711	100.0	1.1514285714285715	5.757142857142857	0.309652409144999	1	0	105	4	20	95	1	5	7	0	2420.4438083171844	700	2427.6528322696686	689	1.5714285714285694	
1370.485309683471	99.87714285714286	1.2057142857142857	6.0285714285714285	0.309652409144999	2	0	111	4	20	87	1	5	7	0	2897.5172984600067	1050	5325.170130729675	1035	1.4285714285714164	
9.767845444118344e+17	100.00285714285714	1.322857142857143	6.614285714285714	0.2991842729374077	3	0	122	4	20	86	1	5	7	0	3163.584290266037	1400	8488.754420995712	1381	1.3571428571428612	
1.766351757376014e+22	99.79714285714286	1.4285714285714286	7.142857142857143	0.19850894994111604	4	0	122	5	25	81	1	5	7	0	3475.536878347397	1750	11964.29129934311	1727	1.3142857142857167	
23732409993.731667	99.83142857142857	1.6285714285714286	8.142857142857142	0.19850894994111604	5	0	128	5	25	78	1	5	7	0	3700.7082126140594	2100	15664.999511957169	2073	1.2857142857142918	
8.239412335622441e+27	99.68857142857142	1.7342857142857142	8.67142857142857	0.19850894994111604	6	0	126	5	25	78	1	5	7	0	3919.569554567337	2450	19584.569066524506	2419	1.2653061224489903	
6.589485558117434e+19	101.84857142857143	1.7142857142857142	8.571428571428571	0.13837021825517437	7	0	129	5	25	77	1	5	7	0	3903.7583479881287	2800	23488.327414512634	2765	1.25	
1.9545542094365742e+21	102.69142857142857	1.8685714285714285	9.342857142857143	0.13837021825517437	8	0	127	5	25	73	1	5	7	0	4225.7120678424835	3150	27714.039482355118	3111	1.2380952380952408	
2.7525425105267294e+19	105.15142857142857	1.9028571428571428	9.514285714285714	0.13837021825517437	9	0	137	5	25	74	1	5	7	0	4363.128372430801	3500	32077.16785478592	3457	1.2285714285714278	
1.0034360106613485e+29	105.81714285714285	1.9257142857142857	9.628571428571428	0.13837021825517437	10	0	132	5	25	81	1	5	7	0	4479.0506472587585	3850	36556.21850204468	3803	1.220779220779221	
1.78320800427507e+27	106.49428571428571	1.8828571428571428	9.414285714285715	0.13837021825517437	11	0	141	7	35	76	1	5	7	0	4446.6188452243805	4200	41002.83734726906	4149	1.2142857142857082	
