ave_fitness	ave_genome_length	ave_num_layers	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_num_layers	max_used_codons	min_genome_length	min_num_layers	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
inf	100.0	1.18	6.06	14.30406411743164	0	0	100	4	20	100	1	5	9	0	3.4198296070098877	50	3.4198296070098877	41	18.0	
4.024554133925437	99.96	1.06	5.3	0.35410683608055116	1	0	104	2	10	96	1	5	9	0	1029.955370426178	100	1033.3752000331879	91	9.0	
1.9831591538238524	99.46	1.08	5.4	0.35410683608055116	2	0	109	3	15	91	1	5	9	0	1138.404760837555	150	2171.779960870743	141	6.0	
1.9850038225078581	98.7	1.04	5.2	0.34571989631652833	3	0	106	2	10	90	1	5	9	0	1089.0923974514008	200	3260.8723583221436	191	4.5	
1.7081810421371457	100.64	1.04	5.2	0.332978360414505	4	0	106	2	10	91	1	5	9	0	1064.278386592865	250	4325.1507449150085	241	3.6000000000000085	
1.503200033521652	98.84	1.1	5.5	0.332978360414505	5	0	108	2	10	89	1	5	9	0	1129.4402334690094	300	5454.590978384018	291	3.0	
103033832735.86201	98.2	1.1	5.5	0.332978360414505	6	0	108	2	10	89	1	5	9	0	1274.5721683502197	350	6729.163146734238	341	2.5714285714285694	
2.0128224401855466	100.58	1.14	5.7	0.332978360414505	7	0	109	2	10	89	1	5	9	0	1152.7728295326233	400	7881.935976266861	391	2.25	
0.8452476262187959	97.28	1.06	5.3	0.332978360414505	8	0	109	2	10	87	1	5	9	0	1146.4244949817657	450	9028.360471248627	441	2.0	
1.8066822539901732	100.34	1.06	5.3	0.332978360414505	9	0	113	2	10	86	1	5	9	0	1120.1376421451569	500	10148.498113393784	491	1.7999999999999972	
1.602079521331787	101.84	1.06	5.3	0.332978360414505	10	0	115	2	10	91	1	5	9	0	1120.7567353248596	550	11269.254848718643	541	1.6363636363636402	
1.9426934910440443	101.38	1.04	5.2	0.332978360414505	11	0	112	2	10	91	1	5	9	0	1119.0682263374329	600	12388.323075056076	591	1.5	
1.2947972568035127	101.86	1.1	5.5	0.332978360414505	12	0	112	3	15	90	1	5	9	0	1231.6265795230865	650	13619.949654579163	641	1.3846153846153868	
9173.688343726615	101.04	1.18	5.9	0.332978360414505	13	0	114	3	15	87	1	5	9	0	1313.0877046585083	700	14933.03735923767	691	1.2857142857142918	
2.226546504716873	100.22	1.18	5.9	0.332978360414505	14	0	114	3	15	92	1	5	9	0	1241.1972324848175	750	16174.234591722488	741	1.2000000000000028	
1.3692193221187592	99.26	1.06	5.3	0.3185493500232697	15	0	109	2	10	94	1	5	9	0	1105.2473039627075	800	17279.481895685196	791	1.125	
690.4796614450884	99.98	1.12	5.6	0.3185493500232697	16	0	107	2	10	93	1	5	9	0	1148.777461051941	850	18428.259356737137	841	1.058823529411768	
1.4603562544918056	99.4	1.06	5.3	0.3185493500232697	17	0	111	2	10	89	1	5	9	0	1105.2198708057404	900	19533.479227542877	891	1.0	
1.1614179766845705	101.44	1.12	5.6	0.3185493500232697	18	0	113	2	10	92	1	5	9	0	1157.7505803108215	950	20691.2298078537	941	0.9473684210526301	
5.184701193642615	101.6	1.2	6.0	0.3185493500232697	19	0	116	2	10	88	1	5	9	0	1186.643076658249	1000	21877.872884511948	991	0.9000000000000057	
1.1652961391878127	100.54	1.12	5.6	0.3185493500232697	20	0	121	2	10	87	1	5	9	0	1154.434841632843	1050	23032.30772614479	1041	0.8571428571428612	
2.1623425184965135	99.42	1.3	6.5	0.3185493500232697	21	0	117	4	20	91	1	5	9	0	1287.398327589035	1100	24319.706053733826	1091	0.818181818181813	
35506065139304.37	98.98	1.22	6.1	0.3185493500232697	22	0	116	3	15	90	1	5	9	0	1204.7203931808472	1150	25524.426446914673	1141	0.7826086956521721	
1.922936274638176	101.36	1.34	6.7	0.3185493500232697	23	0	125	3	15	89	1	5	9	0	1282.8111054897308	1200	26807.237552404404	1191	0.75	
1.9288263440847395	98.52	1.2	6.0	0.3185493500232697	24	0	122	2	10	82	1	5	9	0	1232.6265556812286	1250	28039.864108085632	1241	0.7199999999999989	
24.792319125609396	101.12	1.28	6.4	0.3185493500232697	25	0	123	2	10	91	1	5	9	0	1351.491056919098	1300	29391.35516500473	1291	0.6923076923076934	
304.17014989429003	99.9	1.38	6.9	0.3185493500232697	26	0	125	2	10	89	1	5	9	0	1448.9896774291992	1350	30840.34484243393	1341	0.6666666666666714	
13.081347327461245	99.72	1.34	6.7	0.3185493500232697	27	0	125	3	15	92	1	5	9	0	1346.5970239639282	1400	32186.941866397858	1391	0.6428571428571388	
2.665320251660347	98.72	1.28	6.4	0.3185493500232697	28	0	105	3	15	89	1	5	9	0	1315.5183274745941	1450	33502.46019387245	1441	0.6206896551724128	
4.141530099444388	99.76	1.38	6.9	0.3185493500232697	29	0	107	3	15	91	1	5	9	0	1388.698784828186	1500	34891.15897870064	1491	0.5999999999999943	
4.141530099444388	99.76	1.38	6.9	0.3185493500232697	29	0	107	3	15	91	1	5	9	0	1388.698784828186	1500	34891.15897870064	1491	0.5999999999999943	
