ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	
1.8289421706329083e+86	26.652	6.488	25.04	17.942	14.118925802696864	0	0	139	10	131	93	3	3	3	2	39	0	0.8761041164398193	500	0.8761041164398193	
4.258900618114796e+87	21.768	7.768156424581005	17.377094972067038	12.38268156424581	13.69841973079817	1	143	111	33.0	108.0	76.0	2	2.0	2.0	1.0	50	0	0.1030426025390625	1000	0.9791467189788818	
3.1363814781992908e+35	22.592	6.818858560794045	15.605459057071961	10.94044665012407	13.69841973079817	2	241	101	27.0	88.0	61.0	1	2.0	2.0	1.0	55	0	0.08774542808532715	1500	1.066892147064209	
183.87705420674047	22.868	5.922374429223744	13.461187214611872	9.232876712328768	13.69841973079817	3	304	75	27.0	81.0	61.0	2	2.0	2.0	1.0	61	0	0.08183836936950684	2000	1.1487305164337158	
3.555265019245549e+93	24.776	5.880174291938998	13.967320261437909	9.47930283224401	13.69841973079817	4	346	81	29.0	86.0	64.0	1	2.0	2.0	1.0	63	0	0.08725285530090332	2500	1.2359833717346191	
5.5279152770236875e+19	25.53	4.972222222222222	12.207264957264957	7.957264957264957	10.693539355153664	5	379	75	29.0	88.0	64.0	3	2.0	2.0	1.0	65	0	0.0726006031036377	3000	1.3085839748382568	
2.9615992052776346e+36	25.474	4.587136929460581	11.726141078838173	7.460580912863071	10.693539355153664	6	398	63	17.0	68.0	48.0	2	2.0	2.0	1.0	73	0	0.06784605979919434	3500	1.3764300346374512	
3.8252707556900014e+40	25.774	4.384458077709612	11.586912065439673	7.269938650306749	10.693539355153664	7	410	74	17.0	54.0	38.0	2	2.0	2.0	1.0	74	0	0.06847167015075684	4000	1.444901704788208	
4.274251985301871e+131	25.416	4.186094069529652	10.623721881390592	6.597137014314929	10.693539355153664	8	421	74	22.0	54.0	37.0	3	2.0	2.0	1.0	81	0	0.06701350212097168	4500	1.5119152069091797	
3.335615400869145e+87	25.298	3.9224489795918367	10.30408163265306	6.275510204081633	9.295791920262165	9	432	74	18.0	60.0	41.0	4	2.0	2.0	1.0	84	0	0.06405115127563477	5000	1.5759663581848145	
3.3807408259178456e+25	25.416	3.894628099173554	10.179752066115702	6.202479338842975	9.295791920262165	10	449	69	19.0	68.0	47.0	3	2.0	2.0	1.0	85	0	0.062272071838378906	5500	1.6382384300231934	
4.147188175479988e+30	25.968	4.207818930041152	11.304526748971194	6.995884773662551	9.295791920262165	11	463	69	19.0	68.0	47.0	4	2.0	2.0	1.0	89	0	0.06395387649536133	6000	1.7021923065185547	
2.335985554176561e+76	27.432	4.280737704918033	11.274590163934427	7.034836065573771	9.22285956112246	12	476	65	19.0	54.0	37.0	3	2.0	2.0	1.0	93	0	0.061803579330444336	6500	1.763995885848999	
1.8376666417509283e+38	28.296	4.258196721311475	11.362704918032787	7.077868852459017	9.22285956112246	13	489	63	19.0	59.0	40.0	3	2.0	2.0	1.0	98	0	0.06875324249267578	7000	1.8327491283416748	
5.786407147720372e+87	27.986	4.19917864476386	11.234086242299794	7.02258726899384	9.22285956112246	14	503	71	18.0	58.0	39.0	4	2.0	2.0	1.0	102	0	0.06858968734741211	7500	1.901338815689087	
9.36855474399636e+51	27.974	4.674897119341564	12.393004115226338	7.909465020576132	8.961410770431877	15	518	69	19.0	66.0	45.0	4	2.0	2.0	1.0	104	0	0.07534241676330566	8000	1.9766812324523926	
1.7139644367495745e+41	28.398	4.449064449064449	11.619542619542619	7.37006237006237	8.961410770431877	16	538	70	22.0	66.0	45.0	3	2.0	2.0	1.0	108	0	0.06844639778137207	8500	2.0451276302337646	
1.2160020691849786e+81	27.488	4.418556701030928	11.367010309278351	7.2082474226804125	8.961410770431877	17	554	77	24.0	66.0	45.0	3	2.0	2.0	1.0	110	0	0.06951689720153809	9000	2.1146445274353027	
1.7166286900502273e+30	30.336	4.600409836065574	11.905737704918034	7.625	8.934725055700168	18	566	82	23.0	66.0	45.0	5	2.0	2.0	1.0	115	0	0.06919312477111816	9500	2.183837652206421	
1.7377950974958787e+33	30.526	4.51129363449692	11.414784394250514	7.303901437371663	8.934725055700168	19	579	96	19.0	66.0	45.0	3	2.0	2.0	1.0	119	0	0.07342386245727539	10000	2.2572615146636963	
2.8955920746597776e+27	32.194	4.60285132382892	11.818737270875763	7.584521384928717	8.934725055700168	20	589	79	19.0	90.0	63.0	3	2.0	2.0	1.0	128	0	0.06817913055419922	10500	2.3254406452178955	
6.936663073546812e+35	33.554	4.777777777777778	12.224242424242425	7.905050505050505	8.934725055700168	21	595	83	19.0	66.0	45.0	3	2.0	2.0	1.0	136	0	0.07392358779907227	11000	2.3993642330169678	
6.3468464946332636e+35	35.294	4.905622489959839	12.993975903614459	8.405622489959839	8.934725055700168	22	597	89	15.0	66.0	43.0	7	2.0	2.0	1.0	145	0	0.12184929847717285	11500	2.5212135314941406	
2.3574411971273305e+37	36.426	5.13939393939394	13.424242424242424	8.793939393939393	8.934725055700168	23	603	87	18.0	59.0	42.0	4	2.0	2.0	1.0	154	0	0.07632875442504883	12000	2.5975422859191895	
3.618621581308683e+37	35.922	5.209349593495935	14.239837398373984	9.357723577235772	8.770074543623991	24	611	87	19.0	77.0	52.0	4	2.0	2.0	1.0	160	0	0.08059573173522949	12500	2.678138017654419	
6.39408408318258e+35	37.694	5.34826883910387	14.65376782077393	9.70061099796334	8.770074543623991	25	621	92	20.0	71.0	48.0	4	2.0	2.0	1.0	166	0	0.08378028869628906	13000	2.761918306350708	
