ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	
7.560799810422528e+76	200.0	4.982	13.83	9.392	0.19707743254470914	0	0	200	38	234	159	200	2	2	1	13	0	0.597846269607544	500	0.597846269607544	
9.933133919984673e+93	199.966	6.582	19.336	13.398	0.19707743254470914	1	0	299	32	202	142	101	2	2	1	27	0	0.6186504364013672	1000	1.2164967060089111	
7.557204558729398e+30	198.566	7.292585170340681	20.925851703406813	14.551102204408817	0.19707743254470914	2	1	299	38.0	275.0	193.0	97	2.0	2.0	1.0	41	0	0.4846832752227783	1500	1.7011799812316895	
